object1,object2,concurrence count
airplane,cell phone,1
airplane,dog,1
airplane,motorcycle,1
airplane,skateboard,1
airplane,skis,1
airplane,traffic light,1
airplane,tv,1
apple,backpack,1
apple,boat,1
apple,book,1
apple,couch,1
apple,mouse,1
apple,sports ball,1
apple,surfboard,1
apple,toaster,1
apple,tv,1
backpack,apple,1
backpack,cake,1
backpack,frisbee,1
backpack,laptop,1
backpack,sports ball,1
backpack,tennis racket,1
banana,bicycle,1
banana,cat,1
banana,clock,1
banana,dog,1
banana,donut,1
banana,frisbee,1
banana,handbag,1
banana,motorcycle,1
banana,mouse,1
banana,scissors,1
banana,surfboard,1
banana,toaster,1
banana,wine glass,1
baseball bat,carrot,1
baseball bat,elephant,1
baseball bat,kite,1
baseball bat,orange,1
baseball bat,scissors,1
baseball bat,skateboard,1
baseball bat,toothbrush,1
baseball bat,umbrella,1
baseball glove,truck,1
baseball glove,umbrella,1
bear,carrot,1
bear,elephant,1
bear,skis,1
bear,sports ball,1
bear,teddy bear,1
bed,donut,1
bed,kite,1
bed,sink,1
bed,toilet,1
bed,toothbrush,1
bed,wine glass,1
bench,book,1
bench,donut,1
bench,hot dog,1
bench,kite,1
bench,motorcycle,1
bench,pizza,1
bench,sandwich,1
bench,stop sign,1
bench,toothbrush,1
bench,wine glass,1
bicycle,banana,1
bicycle,bottle,1
bicycle,cow,1
bicycle,elephant,1
bicycle,pizza,1
bicycle,scissors,1
bicycle,stop sign,1
bicycle,surfboard,1
bicycle,teddy bear,1
bicycle,toilet,1
bird,book,1
bird,cake,1
bird,carrot,1
bird,dining table,1
bird,donut,1
bird,elephant,1
bird,horse,1
bird,microwave,1
bird,motorcycle,1
bird,orange,1
bird,parking meter,1
bird,sports ball,1
bird,traffic light,1
bird,truck,1
bird,tv,1
bird,zebra,1
boat,apple,1
boat,bottle,1
boat,bus,1
boat,carrot,1
boat,cell phone,1
boat,cup,1
boat,fork,1
boat,giraffe,1
boat,horse,1
boat,pizza,1
boat,potted plant,1
boat,skateboard,1
boat,skis,1
boat,stop sign,1
boat,teddy bear,1
boat,tie,1
boat,toilet,1
boat,wine glass,1
book,apple,1
book,bench,1
book,bird,1
book,orange,1
book,tie,1
book,umbrella,1
bottle,bicycle,1
bottle,boat,1
bottle,suitcase,1
bottle,surfboard,1
bottle,teddy bear,1
bowl,car,1
bowl,toilet,1
broccoli,microwave,1
broccoli,refrigerator,1
broccoli,sink,1
bus,boat,1
bus,cell phone,1
bus,chair,1
bus,fire hydrant,1
bus,potted plant,1
bus,sheep,1
bus,stop sign,1
bus,suitcase,1
cake,backpack,1
cake,bird,1
cake,couch,1
cake,cow,1
cake,hot dog,1
cake,keyboard,1
cake,remote,1
cake,suitcase,1
cake,surfboard,1
cake,train,1
cake,umbrella,1
car,bowl,1
car,fork,1
car,knife,1
car,laptop,1
car,mouse,1
car,pizza,1
car,snowboard,1
car,spoon,1
car,toilet,1
carrot,baseball bat,1
carrot,bear,1
carrot,bird,1
carrot,boat,1
carrot,clock,1
carrot,dog,1
carrot,laptop,1
carrot,refrigerator,1
carrot,sink,1
carrot,teddy bear,1
carrot,tie,1
carrot,tv,1
carrot,umbrella,1
carrot,vase,1
cat,banana,1
cat,clock,1
cat,cow,1
cat,motorcycle,1
cat,pizza,1
cat,spoon,1
cat,sports ball,1
cell phone,airplane,1
cell phone,boat,1
cell phone,bus,1
cell phone,parking meter,1
cell phone,refrigerator,1
cell phone,skateboard,1
cell phone,teddy bear,1
cell phone,tennis racket,1
cell phone,traffic light,1
chair,bus,1
chair,toilet,1
chair,toothbrush,1
chair,zebra,1
clock,banana,1
clock,carrot,1
clock,cat,1
clock,dog,1
clock,fork,1
clock,frisbee,1
clock,keyboard,1
clock,mouse,1
clock,parking meter,1
clock,sandwich,1
clock,scissors,1
clock,skateboard,1
clock,sports ball,1
couch,apple,1
couch,cake,1
couch,pizza,1
couch,spoon,1
couch,toothbrush,1
couch,umbrella,1
cow,bicycle,1
cow,cake,1
cow,cat,1
cow,elephant,1
cow,tie,1
cow,tv,1
cow,umbrella,1
cup,boat,1
cup,fire hydrant,1
dining table,bird,1
dining table,frisbee,1
dining table,skateboard,1
dining table,snowboard,1
dining table,toaster,1
dog,airplane,1
dog,banana,1
dog,carrot,1
dog,clock,1
dog,fork,1
dog,giraffe,1
dog,knife,1
dog,snowboard,1
dog,spoon,1
dog,stop sign,1
dog,tennis racket,1
dog,train,1
dog,zebra,1
donut,banana,1
donut,bed,1
donut,bench,1
donut,bird,1
donut,handbag,1
donut,microwave,1
donut,potted plant,1
donut,sink,1
donut,tie,1
donut,vase,1
elephant,baseball bat,1
elephant,bear,1
elephant,bicycle,1
elephant,bird,1
elephant,cow,1
elephant,handbag,1
elephant,horse,1
fire hydrant,bus,1
fire hydrant,cup,1
fire hydrant,handbag,1
fire hydrant,motorcycle,1
fire hydrant,parking meter,1
fire hydrant,scissors,1
fire hydrant,sports ball,1
fork,boat,1
fork,car,1
fork,clock,1
fork,dog,1
fork,microwave,1
fork,scissors,1
fork,tv,1
fork,umbrella,1
frisbee,backpack,1
frisbee,banana,1
frisbee,clock,1
frisbee,dining table,1
frisbee,handbag,1
frisbee,motorcycle,1
frisbee,refrigerator,1
frisbee,toilet,1
giraffe,boat,1
giraffe,dog,1
giraffe,handbag,1
giraffe,truck,1
handbag,banana,1
handbag,donut,1
handbag,elephant,1
handbag,fire hydrant,1
handbag,frisbee,1
handbag,giraffe,1
handbag,hot dog,1
handbag,knife,1
handbag,parking meter,1
handbag,refrigerator,1
handbag,sheep,1
handbag,sports ball,1
handbag,stop sign,1
handbag,tennis racket,1
horse,bird,1
horse,boat,1
horse,elephant,1
horse,kite,1
horse,motorcycle,1
horse,tennis racket,1
horse,train,1
hot dog,bench,1
hot dog,cake,1
hot dog,handbag,1
hot dog,keyboard,1
hot dog,pizza,1
hot dog,potted plant,1
hot dog,refrigerator,1
hot dog,wine glass,1
keyboard,cake,1
keyboard,clock,1
keyboard,hot dog,1
keyboard,sink,1
keyboard,train,1
kite,baseball bat,1
kite,bed,1
kite,bench,1
kite,horse,1
kite,motorcycle,1
kite,sheep,1
kite,snowboard,1
kite,suitcase,1
kite,wine glass,1
knife,car,1
knife,dog,1
knife,handbag,1
knife,sports ball,1
knife,surfboard,1
knife,toothbrush,1
laptop,backpack,1
laptop,car,1
laptop,carrot,1
laptop,microwave,1
laptop,oven,1
laptop,pizza,1
microwave,bird,1
microwave,broccoli,1
microwave,donut,1
microwave,fork,1
microwave,laptop,1
microwave,sandwich,1
microwave,truck,1
motorcycle,airplane,1
motorcycle,banana,1
motorcycle,bench,1
motorcycle,bird,1
motorcycle,cat,1
motorcycle,fire hydrant,1
motorcycle,frisbee,1
motorcycle,horse,1
motorcycle,kite,1
motorcycle,parking meter,1
motorcycle,potted plant,1
motorcycle,skis,1
motorcycle,suitcase,1
motorcycle,surfboard,1
motorcycle,tie,1
mouse,apple,1
mouse,banana,1
mouse,car,1
mouse,clock,1
mouse,sink,1
mouse,sports ball,1
mouse,vase,1
orange,baseball bat,1
orange,bird,1
orange,book,1
orange,tennis racket,1
orange,truck,1
orange,umbrella,1
oven,laptop,1
oven,remote,1
oven,sandwich,1
oven,suitcase,1
oven,toothbrush,1
parking meter,bird,1
parking meter,cell phone,1
parking meter,clock,1
parking meter,fire hydrant,1
parking meter,handbag,1
parking meter,motorcycle,1
parking meter,potted plant,1
parking meter,skis,1
parking meter,suitcase,1
pizza,bench,1
pizza,bicycle,1
pizza,boat,1
pizza,car,1
pizza,cat,1
pizza,couch,1
pizza,hot dog,1
pizza,laptop,1
pizza,skateboard,1
pizza,stop sign,1
pizza,umbrella,1
potted plant,boat,1
potted plant,bus,1
potted plant,donut,1
potted plant,hot dog,1
potted plant,motorcycle,1
potted plant,parking meter,1
potted plant,skateboard,1
potted plant,suitcase,1
potted plant,toothbrush,1
refrigerator,broccoli,1
refrigerator,carrot,1
refrigerator,cell phone,1
refrigerator,frisbee,1
refrigerator,handbag,1
refrigerator,hot dog,1
refrigerator,remote,1
refrigerator,sandwich,1
refrigerator,surfboard,1
refrigerator,tie,1
refrigerator,toilet,1
refrigerator,toothbrush,1
refrigerator,truck,1
remote,cake,1
remote,oven,1
remote,refrigerator,1
remote,scissors,1
remote,tennis racket,1
sandwich,bench,1
sandwich,clock,1
sandwich,microwave,1
sandwich,oven,1
sandwich,refrigerator,1
sandwich,scissors,1
sandwich,sink,1
scissors,banana,1
scissors,baseball bat,1
scissors,bicycle,1
scissors,clock,1
scissors,fire hydrant,1
scissors,fork,1
scissors,remote,1
scissors,sandwich,1
scissors,sheep,1
scissors,vase,1
scissors,wine glass,1
sheep,bus,1
sheep,handbag,1
sheep,kite,1
sheep,scissors,1
sheep,teddy bear,1
sheep,tie,1
sheep,train,1
sink,bed,1
sink,broccoli,1
sink,carrot,1
sink,donut,1
sink,keyboard,1
sink,mouse,1
sink,sandwich,1
skateboard,airplane,1
skateboard,baseball bat,1
skateboard,boat,1
skateboard,cell phone,1
skateboard,clock,1
skateboard,dining table,1
skateboard,pizza,1
skateboard,potted plant,1
skateboard,skis,1
skateboard,sports ball,1
skateboard,stop sign,1
skateboard,tie,1
skis,airplane,1
skis,bear,1
skis,boat,1
skis,motorcycle,1
skis,parking meter,1
skis,skateboard,1
skis,umbrella,1
snowboard,car,1
snowboard,dining table,1
snowboard,dog,1
snowboard,kite,1
snowboard,stop sign,1
spoon,car,1
spoon,cat,1
spoon,couch,1
spoon,dog,1
spoon,tie,1
spoon,toaster,1
spoon,toothbrush,1
sports ball,apple,1
sports ball,backpack,1
sports ball,bear,1
sports ball,bird,1
sports ball,cat,1
sports ball,clock,1
sports ball,fire hydrant,1
sports ball,handbag,1
sports ball,knife,1
sports ball,mouse,1
sports ball,skateboard,1
sports ball,tie,1
sports ball,truck,1
stop sign,bench,1
stop sign,bicycle,1
stop sign,boat,1
stop sign,bus,1
stop sign,dog,1
stop sign,handbag,1
stop sign,pizza,1
stop sign,skateboard,1
stop sign,snowboard,1
stop sign,umbrella,1
suitcase,bottle,1
suitcase,bus,1
suitcase,cake,1
suitcase,kite,1
suitcase,motorcycle,1
suitcase,oven,1
suitcase,parking meter,1
suitcase,potted plant,1
suitcase,surfboard,1
surfboard,apple,1
surfboard,banana,1
surfboard,bicycle,1
surfboard,bottle,1
surfboard,cake,1
surfboard,knife,1
surfboard,motorcycle,1
surfboard,refrigerator,1
surfboard,suitcase,1
teddy bear,bear,1
teddy bear,bicycle,1
teddy bear,boat,1
teddy bear,bottle,1
teddy bear,carrot,1
teddy bear,cell phone,1
teddy bear,sheep,1
teddy bear,tennis racket,1
teddy bear,toilet,1
tennis racket,backpack,1
tennis racket,cell phone,1
tennis racket,dog,1
tennis racket,handbag,1
tennis racket,horse,1
tennis racket,orange,1
tennis racket,remote,1
tennis racket,teddy bear,1
tennis racket,toothbrush,1
tennis racket,tv,1
tie,boat,1
tie,book,1
tie,carrot,1
tie,cow,1
tie,donut,1
tie,motorcycle,1
tie,refrigerator,1
tie,sheep,1
tie,skateboard,1
tie,spoon,1
tie,sports ball,1
tie,toothbrush,1
tie,vase,1
toaster,apple,1
toaster,banana,1
toaster,dining table,1
toaster,spoon,1
toilet,bed,1
toilet,bicycle,1
toilet,boat,1
toilet,bowl,1
toilet,car,1
toilet,chair,1
toilet,frisbee,1
toilet,refrigerator,1
toilet,teddy bear,1
toilet,tv,1
toothbrush,baseball bat,1
toothbrush,bed,1
toothbrush,bench,1
toothbrush,chair,1
toothbrush,couch,1
toothbrush,knife,1
toothbrush,oven,1
toothbrush,potted plant,1
toothbrush,refrigerator,1
toothbrush,spoon,1
toothbrush,tennis racket,1
toothbrush,tie,1
traffic light,airplane,1
traffic light,bird,1
traffic light,cell phone,1
train,cake,1
train,dog,1
train,horse,1
train,keyboard,1
train,sheep,1
train,umbrella,1
truck,baseball glove,1
truck,bird,1
truck,giraffe,1
truck,microwave,1
truck,orange,1
truck,refrigerator,1
truck,sports ball,1
truck,zebra,1
tv,airplane,1
tv,apple,1
tv,bird,1
tv,carrot,1
tv,cow,1
tv,fork,1
tv,tennis racket,1
tv,toilet,1
umbrella,baseball bat,1
umbrella,baseball glove,1
umbrella,book,1
umbrella,cake,1
umbrella,carrot,1
umbrella,couch,1
umbrella,cow,1
umbrella,fork,1
umbrella,orange,1
umbrella,pizza,1
umbrella,skis,1
umbrella,stop sign,1
umbrella,train,1
umbrella,vase,1
vase,carrot,1
vase,donut,1
vase,mouse,1
vase,scissors,1
vase,tie,1
vase,umbrella,1
wine glass,banana,1
wine glass,bed,1
wine glass,bench,1
wine glass,boat,1
wine glass,hot dog,1
wine glass,kite,1
wine glass,scissors,1
zebra,bird,1
zebra,chair,1
zebra,dog,1
zebra,truck,1
airplane,backpack,2
airplane,bird,2
airplane,bus,2
airplane,kite,2
airplane,surfboard,2
airplane,tie,2
airplane,train,2
apple,cell phone,2
apple,clock,2
apple,fork,2
apple,handbag,2
apple,umbrella,2
apple,wine glass,2
backpack,airplane,2
backpack,boat,2
backpack,cup,2
backpack,dining table,2
banana,bird,2
banana,fork,2
banana,hot dog,2
banana,laptop,2
banana,truck,2
baseball bat,tie,2
baseball bat,truck,2
baseball bat,tv,2
baseball glove,tennis racket,2
bear,dog,2
bed,keyboard,2
bed,refrigerator,2
bench,couch,2
bench,fire hydrant,2
bench,fork,2
bench,horse,2
bench,spoon,2
bench,tennis racket,2
bench,tie,2
bench,traffic light,2
bicycle,book,2
bicycle,cup,2
bicycle,hot dog,2
bicycle,sandwich,2
bicycle,sheep,2
bicycle,suitcase,2
bicycle,tennis racket,2
bicycle,tv,2
bird,airplane,2
bird,banana,2
bird,cat,2
bird,couch,2
bird,cow,2
bird,giraffe,2
bird,teddy bear,2
boat,backpack,2
boat,suitcase,2
book,bicycle,2
book,cake,2
book,donut,2
book,knife,2
book,toilet,2
book,toothbrush,2
bowl,dog,2
bowl,tie,2
bowl,tv,2
bowl,umbrella,2
broccoli,cake,2
bus,airplane,2
bus,horse,2
bus,tie,2
cake,book,2
cake,broccoli,2
cake,carrot,2
cake,cat,2
cake,cell phone,2
cake,pizza,2
cake,teddy bear,2
cake,tv,2
car,carrot,2
car,giraffe,2
car,orange,2
car,skis,2
car,tv,2
car,wine glass,2
car,zebra,2
carrot,cake,2
carrot,car,2
carrot,potted plant,2
carrot,toothbrush,2
cat,bird,2
cat,cake,2
cat,handbag,2
cat,scissors,2
cell phone,apple,2
cell phone,cake,2
cell phone,fork,2
cell phone,knife,2
cell phone,microwave,2
cell phone,skis,2
cell phone,train,2
chair,elephant,2
chair,frisbee,2
chair,scissors,2
chair,skateboard,2
chair,toaster,2
chair,train,2
clock,apple,2
clock,cow,2
clock,fire hydrant,2
clock,laptop,2
clock,microwave,2
clock,orange,2
clock,pizza,2
clock,suitcase,2
clock,teddy bear,2
clock,tie,2
clock,wine glass,2
couch,bench,2
couch,bird,2
couch,handbag,2
couch,skateboard,2
cow,bird,2
cow,clock,2
cow,zebra,2
cup,backpack,2
cup,bicycle,2
cup,dog,2
cup,teddy bear,2
cup,toilet,2
dining table,backpack,2
dining table,scissors,2
dining table,surfboard,2
dog,bear,2
dog,bowl,2
dog,cup,2
dog,fire hydrant,2
dog,kite,2
dog,pizza,2
dog,toilet,2
dog,traffic light,2
dog,vase,2
donut,book,2
donut,fork,2
donut,laptop,2
donut,orange,2
donut,wine glass,2
elephant,chair,2
fire hydrant,bench,2
fire hydrant,clock,2
fire hydrant,dog,2
fire hydrant,potted plant,2
fork,apple,2
fork,banana,2
fork,bench,2
fork,cell phone,2
fork,donut,2
fork,laptop,2
frisbee,chair,2
giraffe,bird,2
giraffe,car,2
hair drier,person,2
handbag,apple,2
handbag,cat,2
handbag,couch,2
handbag,spoon,2
handbag,surfboard,2
horse,bench,2
horse,bus,2
horse,potted plant,2
horse,zebra,2
hot dog,banana,2
hot dog,bicycle,2
hot dog,oven,2
hot dog,spoon,2
keyboard,bed,2
keyboard,microwave,2
keyboard,sandwich,2
keyboard,teddy bear,2
keyboard,vase,2
kite,airplane,2
kite,dog,2
kite,skateboard,2
knife,book,2
knife,cell phone,2
knife,laptop,2
laptop,banana,2
laptop,clock,2
laptop,donut,2
laptop,fork,2
laptop,knife,2
laptop,refrigerator,2
laptop,sandwich,2
laptop,sink,2
laptop,suitcase,2
laptop,teddy bear,2
laptop,vase,2
microwave,cell phone,2
microwave,clock,2
microwave,keyboard,2
microwave,pizza,2
microwave,remote,2
microwave,wine glass,2
motorcycle,teddy bear,2
orange,car,2
orange,clock,2
orange,donut,2
orange,pizza,2
orange,tv,2
orange,wine glass,2
oven,hot dog,2
oven,scissors,2
person,hair drier,2
pizza,cake,2
pizza,clock,2
pizza,dog,2
pizza,microwave,2
pizza,orange,2
pizza,sink,2
pizza,tv,2
potted plant,carrot,2
potted plant,fire hydrant,2
potted plant,horse,2
potted plant,sandwich,2
potted plant,teddy bear,2
potted plant,traffic light,2
refrigerator,bed,2
refrigerator,laptop,2
refrigerator,scissors,2
remote,microwave,2
remote,tie,2
remote,wine glass,2
sandwich,bicycle,2
sandwich,keyboard,2
sandwich,laptop,2
sandwich,potted plant,2
sandwich,umbrella,2
scissors,cat,2
scissors,chair,2
scissors,dining table,2
scissors,oven,2
scissors,refrigerator,2
scissors,tennis racket,2
sheep,bicycle,2
sink,laptop,2
sink,pizza,2
skateboard,chair,2
skateboard,couch,2
skateboard,kite,2
skateboard,suitcase,2
skateboard,umbrella,2
skis,car,2
skis,cell phone,2
spoon,bench,2
spoon,handbag,2
spoon,hot dog,2
sports ball,tv,2
suitcase,bicycle,2
suitcase,boat,2
suitcase,clock,2
suitcase,laptop,2
suitcase,skateboard,2
suitcase,traffic light,2
surfboard,airplane,2
surfboard,dining table,2
surfboard,handbag,2
teddy bear,bird,2
teddy bear,cake,2
teddy bear,clock,2
teddy bear,cup,2
teddy bear,keyboard,2
teddy bear,laptop,2
teddy bear,motorcycle,2
teddy bear,potted plant,2
tennis racket,baseball glove,2
tennis racket,bench,2
tennis racket,bicycle,2
tennis racket,scissors,2
tennis racket,truck,2
tennis racket,umbrella,2
tie,airplane,2
tie,baseball bat,2
tie,bench,2
tie,bowl,2
tie,bus,2
tie,clock,2
tie,remote,2
toaster,chair,2
toilet,book,2
toilet,cup,2
toilet,dog,2
toothbrush,book,2
toothbrush,carrot,2
traffic light,bench,2
traffic light,dog,2
traffic light,potted plant,2
traffic light,suitcase,2
train,airplane,2
train,cell phone,2
train,chair,2
truck,banana,2
truck,baseball bat,2
truck,tennis racket,2
tv,baseball bat,2
tv,bicycle,2
tv,bowl,2
tv,cake,2
tv,car,2
tv,orange,2
tv,pizza,2
tv,sports ball,2
tv,wine glass,2
umbrella,apple,2
umbrella,bowl,2
umbrella,sandwich,2
umbrella,skateboard,2
umbrella,tennis racket,2
umbrella,wine glass,2
vase,dog,2
vase,keyboard,2
vase,laptop,2
wine glass,apple,2
wine glass,car,2
wine glass,clock,2
wine glass,donut,2
wine glass,microwave,2
wine glass,orange,2
wine glass,remote,2
wine glass,tv,2
wine glass,umbrella,2
zebra,car,2
zebra,cow,2
zebra,horse,2
