object1,object2,concurrence count
airplane,bird,1
airplane,bus,1
airplane,chair,1
airplane,dog,1
airplane,surfboard,1
airplane,tv,1
apple,bed,1
apple,bird,1
apple,man,1
apple,microwave,1
apple,teddy bear,1
apple,woman,1
backpack,boat,1
backpack,bottle,1
backpack,bus,1
backpack,couch,1
backpack,hot dog,1
backpack,laptop,1
backpack,tennis racket,1
backpack,train,1
backpack,tv,1
banana,dog,1
banana,fork,1
banana,hot dog,1
banana,motorcycle,1
banana,refrigerator,1
banana,sandwich,1
banana,sink,1
banana,spoon,1
banana,teddy bear,1
banana,umbrella,1
banana,woman,1
baseball bat,bench,1
baseball bat,frisbee,1
baseball bat,remote,1
baseball bat,tennis racket,1
baseball bat,woman,1
baseball glove,bench,1
baseball glove,frisbee,1
bear,carrot,1
bear,cow,1
bear,giraffe,1
bear,orange,1
bed,apple,1
bed,bottle,1
bed,clock,1
bed,handbag,1
bed,keyboard,1
bed,kite,1
bed,refrigerator,1
bed,remote,1
bench,baseball bat,1
bench,baseball glove,1
bench,bus,1
bench,clock,1
bench,couch,1
bench,frisbee,1
bench,laptop,1
bench,orange,1
bench,oven,1
bench,scissors,1
bench,sports ball,1
bench,surfboard,1
bench,tennis racket,1
bench,toilet,1
bench,traffic light,1
bench,umbrella,1
bicycle,book,1
bicycle,bottle,1
bicycle,cell phone,1
bicycle,cow,1
bicycle,horse,1
bicycle,potted plant,1
bicycle,sandwich,1
bicycle,surfboard,1
bicycle,tie,1
bicycle,tv,1
bird,airplane,1
bird,apple,1
bird,bowl,1
bird,car,1
bird,chair,1
bird,clock,1
bird,cup,1
bird,donut,1
bird,fire hydrant,1
bird,giraffe,1
bird,orange,1
bird,sheep,1
bird,umbrella,1
boat,backpack,1
boat,cow,1
boat,fire hydrant,1
boat,motorcycle,1
boat,pizza,1
boat,suitcase,1
boat,traffic light,1
book,bicycle,1
book,donut,1
book,kite,1
book,orange,1
book,snowboard,1
bottle,backpack,1
bottle,bed,1
bottle,bicycle,1
bottle,remote,1
bottle,skis,1
bottle,suitcase,1
bottle,teddy bear,1
bowl,bird,1
bowl,cell phone,1
bowl,fire hydrant,1
bowl,handbag,1
bowl,laptop,1
broccoli,man,1
broccoli,potted plant,1
broccoli,woman,1
bus,airplane,1
bus,backpack,1
bus,bench,1
bus,fire hydrant,1
bus,horse,1
bus,umbrella,1
bus,woman,1
cake,clock,1
cake,fire hydrant,1
cake,handbag,1
cake,hot dog,1
cake,microwave,1
cake,pizza,1
cake,potted plant,1
cake,remote,1
cake,tie,1
cake,toothbrush,1
car,bird,1
car,carrot,1
car,donut,1
car,hot dog,1
car,laptop,1
car,orange,1
car,sheep,1
car,sports ball,1
car,surfboard,1
car,teddy bear,1
car,toilet,1
carrot,bear,1
carrot,car,1
carrot,chair,1
carrot,dog,1
carrot,donut,1
carrot,potted plant,1
carrot,tv,1
cat,clock,1
cat,scissors,1
cat,zebra,1
cell phone,bicycle,1
cell phone,bowl,1
cell phone,clock,1
cell phone,frisbee,1
cell phone,knife,1
cell phone,sink,1
cell phone,snowboard,1
cell phone,spoon,1
cell phone,toothbrush,1
cell phone,traffic light,1
cell phone,umbrella,1
chair,airplane,1
chair,bird,1
chair,carrot,1
chair,skateboard,1
chair,surfboard,1
chair,toaster,1
chair,train,1
clock,bed,1
clock,bench,1
clock,bird,1
clock,cake,1
clock,cat,1
clock,cell phone,1
clock,cow,1
clock,handbag,1
clock,sheep,1
clock,toothbrush,1
clock,woman,1
couch,backpack,1
couch,bench,1
couch,fork,1
couch,handbag,1
couch,knife,1
couch,microwave,1
couch,toilet,1
couch,wine glass,1
cow,bear,1
cow,bicycle,1
cow,boat,1
cow,clock,1
cow,parking meter,1
cow,zebra,1
cup,bird,1
cup,fire hydrant,1
cup,handbag,1
cup,tie,1
cup,toilet,1
cup,umbrella,1
dining table,scissors,1
