object1,object2,concurrence count
air,hand,1
air,people,1
air,person,1
air,rock,1
airplane,farm,1
airplane,field,1
airplane,machine,1
airplane,ocean,1
airplane,outside,1
arm,hospital,1
arm,stadium,1
arm,tree,1
baby,child,1
baby,finger,1
baby,kitchen,1
baby,outside,1
baby,people,1
baby,restaurant,1
ball,outside,1
ball,playing field,1
bathroom,brush,1
bathroom,female child,1
beach,boat,1
beach,fish,1
beach,rock,1
bed,head,1
bed,inside,1
bird,body,1
bird,ocean,1
bird,people,1
boat,beach,1
body,bird,1
body,cat,1
body,female,1
body,grass,1
body,male child,1
body of water,child,1
body of water,plant,1
bowl,female child,1
bowl,food,1
bowl,knife,1
bowl,people,1
brush,bathroom,1
brush,dog,1
brush,hand,1
brush,inside,1
brush,land,1
brush,water,1
building,car,1
car,building,1
car,fabric,1
car,food,1
car,girl,1
car,room,1
cat,body,1
cat,dog,1
cat,outside,1
cat,woman,1
child,baby,1
child,body of water,1
child,field,1
child,grass,1
classroom,girl,1
classroom,male child,1
classroom,person,1
couple,land,1
couple,outside,1
desk,student,1
doctor,dog,1
doctor,office,1
dog,brush,1
dog,cat,1
dog,doctor,1
dog,horse,1
dog,hospital,1
dog,house,1
dog,lake,1
dog,people,1
dog,yard,1
fabric,car,1
fabric,table,1
face,gymnasium,1
face,pen,1
farm,airplane,1
female,body,1
female,land,1
female,outdoors,1
female child,bathroom,1
female child,bowl,1
female child,finger,1
female child,kitchen,1
female child,mouth,1
female child,plant,1
field,airplane,1
field,child,1
field,mouth,1
finger,baby,1
finger,female child,1
finger,outside,1
fish,beach,1
fish,knife,1
floor,living room,1
floor,office,1
flower,garden,1
flower,people,1
food,bowl,1
food,car,1
food,male child,1
football field,man,1
forest,land,1
forest,person,1
forest,plant,1
garden,flower,1
girl,car,1
girl,classroom,1
girl,hair,1
girl,knife,1
girl,leg,1
grass,body,1
grass,child,1
grass,male child,1
grass,park,1
grass,rope,1
gymnasium,face,1
gymnasium,hand,1
hair,girl,1
hair,inside,1
hand,air,1
hand,brush,1
hand,gymnasium,1
hand,pen,1
head,bed,1
head,horse,1
head,male child,1
horse,dog,1
horse,head,1
horse,ocean,1
hospital,arm,1
hospital,dog,1
hospital,person,1
house,dog,1
house,water,1
inside,bed,1
inside,brush,1
inside,hair,1
inside,knife,1
inside,rock,1
inside,stick,1
kitchen,baby,1
kitchen,female child,1
kitchen,water,1
knife,bowl,1
knife,fish,1
knife,girl,1
knife,inside,1
knife,outdoors,1
lake,dog,1
lake,stick,1
land,brush,1
land,couple,1
land,female,1
land,forest,1
land,playing field,1
land,policeman,1
leg,girl,1
living room,floor,1
living room,man,1
machine,airplane,1
machine,rock,1
male child,body,1
male child,classroom,1
male child,food,1
male child,grass,1
male child,head,1
male child,sidewalk,1
male child,water,1
man,football field,1
man,living room,1
man,stick,1
mother,outdoors,1
mouth,female child,1
mouth,field,1
mouth,ocean,1
ocean,airplane,1
ocean,bird,1
ocean,horse,1
ocean,mouth,1
office,doctor,1
office,floor,1
outdoors,female,1
outdoors,knife,1
outdoors,mother,1
outdoors,river,1
outdoors,yard,1
outside,airplane,1
outside,baby,1
outside,ball,1
outside,cat,1
outside,couple,1
outside,finger,1
outside,road,1
park,grass,1
park,water,1
pen,face,1
pen,hand,1
people,air,1
people,baby,1
people,bird,1
people,bowl,1
people,dog,1
people,flower,1
people,wall,1
person,air,1
person,classroom,1
person,forest,1
person,hospital,1
person,yard,1
plant,body of water,1
plant,female child,1
plant,forest,1
playing field,ball,1
playing field,land,1
policeman,land,1
restaurant,baby,1
river,outdoors,1
road,outside,1
road,street,1
rock,air,1
rock,beach,1
rock,inside,1
rock,machine,1
rock,wood,1
room,car,1
room,soldier,1
room,tree,1
rope,grass,1
rope,street,1
sidewalk,male child,1
soldier,room,1
soldier,tree,1
stadium,arm,1
stadium,water,1
stick,inside,1
stick,lake,1
stick,man,1
street,road,1
street,rope,1
student,desk,1
table,fabric,1
tree,arm,1
tree,room,1
tree,soldier,1
wall,people,1
water,brush,1
water,house,1
water,kitchen,1
water,male child,1
water,park,1
water,stadium,1
woman,cat,1
woman,wood,1
wood,rock,1
wood,woman,1
yard,dog,1
yard,outdoors,1
yard,person,1
arm,car,2
arm,dog,2
arm,people,2
baby,dog,2
ball,body of water,2
ball,floor,2
ball,grass,2
ball,land,2
ball,woman,2
beach,body,2
bed,cat,2
body,beach,2
body,child,2
body,inside,2
body of water,ball,2
bowl,male child,2
bowl,man,2
bowl,table,2
box,inside,2
box,shop,2
brush,car,2
brush,hair,2
brush,house,2
building,wood,2
car,arm,2
car,brush,2
cat,bed,2
cat,finger,2
cat,land,2
child,body,2
child,finger,2
child,floor,2
child,hospital,2
desk,room,2
doctor,face,2
dog,arm,2
dog,baby,2
dog,flower,2
dog,food,2
dog,male child,2
fabric,hand,2
face,doctor,2
face,male child,2
face,outside,2
farm,woman,2
farmer,outdoors,2
field,male child,2
finger,cat,2
finger,child,2
finger,inside,2
finger,room,2
fish,kitchen,2
fish,rock,2
floor,ball,2
floor,child,2
floor,house,2
floor,machine,2
floor,male child,2
floor,people,2
flower,dog,2
food,dog,2
forest,horse,2
forest,woman,2
girl,outside,2
grass,ball,2
gymnasium,leg,2
hair,brush,2
hand,fabric,2
hand,restaurant,2
hand,road,2
hand,table,2
horse,forest,2
hospital,child,2
house,brush,2
house,floor,2
inside,body,2
inside,box,2
inside,finger,2
inside,land,2
inside,policeman,2
inside,table,2
kitchen,fish,2
land,ball,2
land,cat,2
land,inside,2
land,male child,2
leg,gymnasium,2
leg,outdoors,2
machine,floor,2
machine,woman,2
male child,bowl,2
male child,dog,2
male child,face,2
male child,field,2
male child,floor,2
male child,land,2
male child,rock,2
man,bowl,2
man,restaurant,2
outdoors,farmer,2
outdoors,leg,2
outdoors,street,2
outside,face,2
outside,girl,2
outside,rock,2
path,woman,2
people,arm,2
people,floor,2
person,racetrack,2
person,stadium,2
plant,yard,2
policeman,inside,2
racetrack,person,2
restaurant,hand,2
restaurant,man,2
road,hand,2
road,tree,2
rock,fish,2
rock,male child,2
rock,outside,2
room,desk,2
room,finger,2
rope,woman,2
shop,box,2
stadium,person,2
stick,table,2
street,outdoors,2
table,bowl,2
table,hand,2
table,inside,2
table,stick,2
tree,road,2
tree,yard,2
woman,ball,2
woman,farm,2
woman,forest,2
woman,machine,2
woman,path,2
woman,rope,2
woman,workshop,2
wood,building,2
workshop,woman,2
yard,plant,2
yard,tree,2
arm,outside,3
baby,head,3
ball,child,3
ball,male child,3
bed,dog,3
bird,grass,3
boat,outside,3
body,floor,3
body,outside,3
bowl,hand,3
brush,horse,3
brush,kitchen,3
brush,table,3
building,outside,3
car,inside,3
cat,floor,3
child,ball,3
child,water,3
couple,sidewalk,3
doctor,male child,3
dog,bed,3
fabric,kitchen,3
fabric,workshop,3
farm,grass,3
farmer,hand,3
female child,inside,3
finger,outdoors,3
fish,outside,3
floor,body,3
floor,cat,3
flower,plant,3
girl,hand,3
grass,bird,3
grass,farm,3
grass,playing field,3
hand,bowl,3
hand,farmer,3
hand,girl,3
hand,tree,3
head,baby,3
horse,brush,3
inside,car,3
inside,female child,3
inside,rope,3
kitchen,brush,3
kitchen,fabric,3
kitchen,mouth,3
lake,outdoors,3
land,racetrack,3
land,rock,3
land,tree,3
leg,person,3
machine,wall,3
male child,ball,3
male child,doctor,3
man,path,3
mouth,kitchen,3
office,people,3
outdoors,finger,3
outdoors,lake,3
outside,arm,3
outside,boat,3
outside,body,3
outside,building,3
outside,fish,3
path,man,3
people,office,3
people,person,3
people,stadium,3
person,leg,3
person,people,3
plant,flower,3
playing field,grass,3
racetrack,land,3
rock,land,3
room,rope,3
room,wood,3
rope,inside,3
rope,room,3
sidewalk,couple,3
soil,truck,3
stadium,people,3
stick,woman,3
table,brush,3
tree,hand,3
tree,land,3
truck,soil,3
wall,machine,3
wall,wood,3
water,child,3
woman,stick,3
wood,room,3
wood,wall,3
workshop,fabric,3
air,woman,4
arm,male child,4
baby,doctor,4
baby,food,4
bathroom,girl,4
bathroom,hand,4
bird,lake,4
bird,tree,4
boat,body,4
boat,hand,4
body,boat,4
body of water,mouth,4
box,car,4
box,paper,4
car,box,4
car,tree,4
car,wall,4
cat,table,4
child,classroom,4
classroom,child,4
doctor,baby,4
dog,man,4
dog,mouth,4
female child,room,4
flower,person,4
food,baby,4
girl,bathroom,4
hair,outdoors,4
hand,bathroom,4
hand,boat,4
hand,lake,4
kitchen,male child,4
knife,wood,4
lake,bird,4
lake,hand,4
lake,person,4
land,wall,4
leg,outside,4
machine,wood,4
male child,arm,4
male child,kitchen,4
man,dog,4
mouth,body of water,4
mouth,dog,4
outdoors,hair,4
outside,leg,4
outside,soil,4
paper,box,4
