objects,count
man,26147
outdoors,19367
person,18547
woman,18042
room,12884
inside,12559
outside,12296
people,11367
hand,10562
land,4736
field,3821
water,3720
child,3489
male child,3476
table,3404
girl,3100
street,2894
kitchen,2661
road,2268
dog,2132
floor,2049
car,1993
female child,1934
body of water,1928
body,1796
arm,1783
grass,1606
sidewalk,1565
ocean,1563
office,1486
paper,1395
air,1392
female,1374
food,1350
house,1341
farm,1322
baby,1305
forest,1304
wall,1282
sky,1265
face,1205
plant,1141
classroom,1126
finger,1106
building,1105
lake,1090
wood,1080
tree,1076
stage,1073
head,1056
boat,1029
stadium,1014
family,978
workshop,962
airplane,936
yard,918
rope,909
truck,900
bowl,899
beach,894
horse,892
gymnasium,885
brush,875
couple,871
river,870
soil,836
fabric,835
soldier,832
rock,819
cat,799
knife,798
shop,793
bird,790
leg,771
hair,741
playing field,734
machine,719
policeman,707
mouth,705
bed,690
living room,687
box,682
doctor,681
flower,678
student,652
park,651
stick,648
pen,640
hospital,628
garden,627
bathroom,627
restaurant,614
football field,611
old man,604
ball,603
desk,588
racetrack,582
path,575
mother,572
farmer,566
fish,564
mountain,559
snow,554
teacher,552
bucket,552
bottle,552
sink,550
ball field,550
hose,548
young buck,543
baseball,539
bicycle,535
pot,532
board,532
meat,531
football player,530
lawn,529
camera,529
group,518
container,516
tractor,515
telephone,510
crowd,506
book,501
chair,500
earth,499
metallic element,498
studio,496
police,496
back,494
airport,490
ballplayer,489
athlete,489
foot,483
dirt,473
cup,471
liquid,470
glass,467
bedroom,460
worker,453
bag,453
toilet,441
home,440
fire,434
sofa,431
parking lot,429
spoon,427
apparel,426
neck,424
pencil,412
plaything,411
door,409
leaf,407
pool,406
cellular telephone,406
old woman,403
needle,402
factory,402
football,395
runway,391
lip,391
toddler,388
paint,387
work force,386
pond,384
glue,384
backyard,384
pipe,377
pan,377
vegetable,369
pier,368
branch,366
city,365
fingernail,360
adolescent,354
torso,347
trail,345
swimming pool,343
sand,343
salon,339
audience,339
alloy,339
garage,337
animal,334
soccer player,332
shoulder,330
screwdriver,328
church,323
baseball diamond,321
plate,320
bread,320
rug,319
fruit,318
eye,315
scraper,314
cameraman,312
weight,311
towel,311
gun,310
chopping board,309
dough,307
shore,304
computer,304
window,303
money,303
nail,301
painting,298
crane,298
cart,297
tape,296
pole,296
hammer,295
team,289
laptop,289
crop,289
wool,288
jet,287
daughter,285
mud,281
fist,281
son,278
cheek,277
artist,276
pitcher,272
syringe,270
chef,270
vehicle,269
clinic,269
vacuum,268
school,266
singer,265
father,263
ship,261
sheep,260
shrub,258
milk,256
roof,255
cow,254
countertop,254
shirt,253
hill,253
faucet,252
barn,251
sea,250
bar,250
library,249
trailer,248
sprinkler,248
mat,242
lion,242
chicken,241
shovel,239
screw,238
dining room,237
basketball court,237
